study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
gub3,kentucky ,6/1/13,40,ethanol,male,no,334,329.7,322.4,304.4,0.833333333,15,14,12,9,0.811111111,3.6,341.6,0,0,0,0,0,1,1,0,2,3,0,3,2.6,0,0,0,0,0,0,3.6,0,0,0,0,3,0,2.6,0,1.4,1.4
gub3,kentucky ,6/1/13,41,ethanol,male,no,305,282.7,266.3,254.8,2.083333333,15,4,8,8,0.633333333,3,400.75,0,0,0,3,4,4,3,3,1,3,2,2,2.4,0,0,0,0,0,3,3,0,1.4,0,0,1.6,0,0,0,0,0
gub3,kentucky ,6/1/13,42,ethanol,male,no,322,316.9,299.6,278.6,1.916666667,15,9,5,8,1.088888889,3,433.05,0,0,0,0,3,3,4,4,2,4,1,2,0,0,0,2.2,0,0,3,3,0,3,0,3,3,2.4,0,0,0,0
gub3,kentucky ,6/1/13,43,ethanol,male,no,324,314.3,287.1,280.3,1.8,13,7,7,11,0.4,3,429.525,0,0,2,2,3,3,3,3,2,2,0,2,2.6,0,0,0,0,0,0,0,3,1.6,0,0,0,0,0,0,0,0
gub3,kentucky ,6/1/13,44,control,male,no,316,301,287.7,275.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,45,control,male,no,320,311.4,303.6,288.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,46,control,male,no,339.7,324.4,309.5,298.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,47,control,male,no,324,308.7,295.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,48,control,male,no,348,331.7,321.1,308.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,49,control,male,no,368,347.3,340.6,325.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,50,control,male,no,302,293.9,283.5,270.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,51,control,male,no,329,318.7,307.1,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,52,control,male,no,320,304.8,294.6,286.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,53,control,male,no,318.5,308.1,292.7,282.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,54,control,male,no,323.4,310.5,298.9,286.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,55,control,male,no,317,301.5,288.9,277.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,56,control,male,no,333,314.4,300.9,288.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,57,control,male,no,329,316.3,302.1,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,58,control,male,no,316,305.8,296.2,286.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,59,control,male,no,282.8,270.7,256.4,251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,60,control,male,no,308.1,300.3,286.3,273.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,61,control,male,no,323,309.7,299.3,289.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,62,control,male,no,305,293.9,284.1,272.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,63,control,male,no,316,303.8,290.9,281.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,64,control,male,no,312,295.1,285.5,274.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,65,control,male,no,320.8,306.5,299.5,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub3,kentucky ,6/1/13,66,control,male,no,316.9,302.1,290.2,281.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
