study,binge_location,binge_date,subject_id,treatment,sex,early_death,weight_day1,weight_day2,weight_day3,weight_day4,mean_intox,dose_day1,dose_day2,dose_day3,dose_day4,mean_withdrawal,peak_withdrawal,mean_bec,beh_1_1,beh_1_2,beh_1_3,beh_2_1,beh_2_2,beh_2_3,beh_3_1,beh_3_2,beh_3_3,beh_4_1,beh_4_2,beh_4_3,with_10,with_11,with_12,with_13,with_14,with_15,with_16,with_17,with_18,with_19,with_20,with_21,with_22,with_23,with_24,with_25,with_26,
gub2,kentucky ,3/1/13,4,ethanol,male,no,303,287.5,267.5,266.9,2.083333333,15,7,5,8,1.6,3,482.1666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,5,ethanol,male,yes,307,301.8,284.6,,,15,7,2,0,,,347.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,6,ethanol,male,no,294,276.9,265,252.4,1.75,14,8,9,8,1.8,3.8,360.1333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,7,ethanol,male,no,310.6,304,287.6,278.6,2.083333333,14,6,8,7,1.1,3.8,353.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,8,ethanol,male,no,321.6,299.3,281.6,275.5,2.166666667,15,3,8,8,0.7625,3.6,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,9,ethanol,male,no,327.3,304.3,281.6,271.7,1.916666667,13,7,7,10,2.35,3.8,449.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,10,ethanol,male,no,310.5,303.4,282.9,269.6,1.75,15,10,6,8,0.8375,3.8,425.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,11,ethanol,male,no,327.6,312.3,291.6,289.1,1.5,15,8,7,12,0.2625,1.6,421.3666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,12,ethanol,male,no,332.3,307.2,284.9,282.2,1.916666667,12,7,8,10,1.275,3.6,369.6333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gub2,kentucky ,3/1/13,13,ethanol,male,no,317.5,299.3,279,268.7,1.75,14,8,6,11,0.375,3.4,366.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
